county,year,gdays,maqi
Union,1992,201,130
Belknap,2003,147,164
Rockingham,2003,136,271
Atchison,1988,114,95
Sullivan,2018,91,145
Lane,1980,136,226
Chemung,2003,164,322
Forrest,1999,124,26
Daviess,2004,141,274
Chatham,2004,126,160
Fremont,2021,62,43
Dubuque,1995,147,308
Norfolk,1994,101,337
Jasper,2015,20,352
Sangamon,2016,105,319
Androscoggin,1981,177,221
Oneida,1988,206,299
Caldwell,2001,74,96
Fairfax,1996,200,212
Macomb,2007,187,206
Anderson,1997,178,220
Silver Bow,1999,107,349
Kent,2001,201,122
Montgomery,1988,210,181
Hamilton,1991,154,237
Galveston,1987,192,233
Garrett,2011,119,235
Kenosha,2004,179,170
Claiborne,2016,108,321
Marengo,1990,67,55
Milwaukee,1980,229,73
Muscogee,2019,90,274
Cochise,2005,108,235
Muskegon,1985,215,250
Clark,2005,112,156
Montgomery,2013,113,209
Sutter,2010,170,234
Bannock,2005,122,264
Williamson,1980,212,198
York,2010,156,185
Erie,1993,182,192
Johnson,2006,61,112
Colleton,2013,100,291
Fountain,1993,200,271
Calaveras,2004,156,224
Grenada,2004,79,32
Lake,1984,74,164
Gratiot,1992,127,289
Jefferson,1986,179,87
San Diego,1983,256,87
Carlton,2016,101,345
Arapahoe,2011,159,211
Nassau,1992,191,286
Hawkins,1981,200,92
Martin,2020,95,320
Madison,1990,169,214
Mecklenburg,1981,200,78
Bristol,1986,209,131
Strafford,1993,55,59
Ashtabula,2002,203,268
Powell,2004,49,114
Tulare,2000,203,127
St Croix,2017,66,22
Sullivan,2002,190,112
Lorain,1997,156,272
Vigo,1989,200,161
Bronx,2000,195,125
Mayagnez,1999,72,66
Middlesex,2007,174,302
Shelby,2000,214,126
Steuben,2017,91,351
Cambria,1980,228,77
Kalamazoo,2001,169,134
Matanuska-Susitna ,2005,124,101
Thurston,2008,74,45
Franklin,2010,122,150
Polk,1992,188,307
Bowie,2010,70,32
Washington,1990,142,240
Vigo,2011,160,145
Kewaunee,1999,192,130
Scotts Bluff,2021,80,256
Guaynabo,1989,75,30
Clearfield,2005,161,115
Manistee,1988,46,31
Burke,2009,77,331
Westchester,2015,140,290
Stark,1984,190,171
Vermillion,1983,200,274
Douglas,1998,179,123
Kewaunee,2007,164,139
Grant,2005,119,175
Warren,2018,112,294
Mobile,2009,133,305
Pittsburg,2014,93,269
Bradley,1987,100,287
Alpena,1987,69,43
Sebastian,1990,56,55
San Bernardino,1990,364,18
Calcasieu,2015,156,230
Greenbrier,2007,133,117
Okaloosa,2013,87,344
Guaynabo,1997,111,309
Will,1996,147,274
Lauderdale,1992,112,250
Winnebago,1994,143,189
Oakland,1987,190,289
Bell,1990,58,52
Williamson,2017,80,197
Wyandotte,2007,129,199
Lancaster,2007,95,342
Salinas,2004,127,234
Cook,2006,64,222
Sauk,2018,122,301
Lake,2021,51,172
Delaware,2008,133,147
Beaufort,1994,119,335
Pulaski,1994,154,279
Erie,1987,209,85
Dutchess,2001,187,242
Minnehaha,2006,105,290
Union,2013,70,353
Whatcom,1994,156,314
Hancock,1986,200,41
Washington,2006,103,18
Henderson,2003,143,195
Phillips,2013,56,360
Prince William,1993,179,128
Douglas,2012,182,192
Kane,1987,166,289
Haywood,1995,195,125
Marathon,2020,74,193
Sangamon,2012,136,286
Boyd,2007,133,162
Cerro Gordo,2002,107,303
Lawrence,2005,109,67
Litchfield,2006,187,281
Cook,1998,185,66
Hamilton,1996,195,243
Alger,1980,43,41
Knox,1991,174,152
Thurston,2007,115,295
Fremont,2002,100,88
Adams,2001,166,157
Bernalillo,1990,169,191
Lancaster,1989,166,270
Fond du Lac,2000,150,151
Beaufort,2018,30,299
Morgan,2021,96,191
Skagit,2010,205,351
Bennington,1999,172,184
Williamson,2003,156,145
Lawrence,2008,166,227
Cedar,2001,122,131
Tuscarawas,1996,200,283
Linn,2017,100,280
Dubois,2018,87,96
Lemhi,1990,92,4
Inyo,2014,911,233
Adams,2021,34,180
Kent,2014,121,252
Delaware,2019,71,319
Morgan,2012,136,282
Broome,1980,177,219
Floyd,2019,87,338
Winnebago,1986,156,240
Knox,2021,112,199
Livingston,2005,154,263
Cook,1985,215,15
Garfield,2010,40,116
Bucks,1994,210,212
East Baton Rouge,2008,143,184
Fayette,2005,179,142
Ada,1981,147,171
Glynn,2016,129,314
Westchester,2018,169,316
Cole,1995,45,29
Burlington,2002,57,361
Huntington,2011,115,151
Baltimore,2006,205,154
Vanderburgh,2002,200,193
Androscoggin,1980,150,222
Monmouth,1991,237,271
Monterey,2000,129,339
Ramsey,1985,232,160
Archuleta,1995,72,305
Windham,2009,150,338
Allen,2015,105,314
Effingham,1995,169,134
White Pine,2018,108,261
Muskogee,2012,103,303
Waukesha,2021,108,118
Hamblen,1998,147,35
Mendocino,1996,51,236
York,2021,93,180
Shelby,1990,207,104
Cass,2005,164,79
Wayne,2000,180,143
Coweta,2007,201,155
Saint Charles,1988,238,159
Shoshone,1995,81,101
Worcester,1997,179,292
Cleveland,2007,112,315
Durham,1990,120,312
Lenawee,2021,93,240
Geauga,2015,133,164
Clinton,1988,206,113
Lincoln,1999,157,304
Lake,2004,87,343
Fayette,2016,93,296
Marin,1983,164,336
Chittenden,1989,150,292
Putnam,2007,159,311
Modoc,1996,60,19
McClain,2018,119,264
Stanislaus,1985,218,188
Warrick,1989,200,60
Rock,2016,119,159
Harnett,1997,47,52
Ulster,2004,143,321
Franklin,2001,182,84
Butler,1993,166,165
Greene,1991,51,58
Bullitt,2002,197,235
Oliver,2001,105,217
Mesa,2013,117,227
Medina,2004,150,162
El Paso,1983,203,25
DeKalb,2001,70,118
Gila,2007,200,61
Floyd,2009,119,178
Marion,2012,169,88
Volusia,1999,142,250
Saint Charles,2000,185,225
Kittitas,2012,278,291
Mason,2015,102,343
Eddy,1988,182,218
Benton,2000,138,291
Clark,2007,129,323
Saint Louis,2003,202,148
Albany,1991,174,289
Cleveland,2018,121,238
Sonoma,2019,87,348
Orange,1999,109,174
Madison,1986,156,232
Atlantic,2008,119,251
Culpeper,1995,49,60
Davis,2012,100,302
Madison,1995,32,85
Yolo,2010,109,301
Queens,2011,177,222
Floyd,1992,149,297
Morton,2000,139,229
McKenzie,2019,77,353
Pike,1998,53,58
Allen,2021,87,215
Marengo,1996,51,59
Cabarrus,1992,35,18
Scott,2003,100,214
Mono,1985,161,271
Brown,1985,64,62
Shelby,1999,205,82
Lincoln,1999,157,304
Macomb,1997,205,286
York,1982,123,171
Los Alamos,2009,64,108
Lexington,2000,146,183
Lucas,1989,209,225
Gregg,2006,161,268
Montgomery,2021,103,210
Pitkin,2017,48,123
Lawrence,2010,156,306
Alexander,2016,100,246
Contra Costa,1980,219,211
Macomb,1980,213,272
Will,2004,119,304
Clallam,2003,80,286
Denver,2010,108,208
Rockingham,2010,156,117
Peoria,1995,163,215
Roanoke City,2013,78,87
Pike,2013,130,309
Bonner,2008,62,359
Walworth,2008,105,152
Lake,2014,89,114
Linn,2004,125,197
Gallatin,1998,59,145
Boyd,2013,119,303
Fergus,2005,56,121
Lee,2007,152,189
Stanislaus,2001,187,190
Pulaski,1992,129,278
Madera,1999,174,232
Tazewell,1992,200,268
Pulaski,1999,182,198
Lincoln,2000,108,346
Montgomery,1994,90,343
Chemung,2007,122,320
Liberty,2009,67,323
Anderson,1990,200,279
Fayette,1995,54,57
Monroe,2015,93,294
Montezuma,2000,140,215
Clinton,1998,120,329
Spartanburg,2008,172,171
Sarasota,2002,136,287
Richmond,1993,169,152
Allegany,1989,119,289
Greenville,2011,145,184
White Pine,2001,122,273
Delaware,1991,35,51
Vermillion,1980,200,107
Manitowoc,2002,172,169
Hyde,2002,80,94
Mecklenburg,2008,190,131
Morgan,2009,105,310
Coahoma,1995,52,53
Madison,2002,97,88
Natrona,2014,77,329
Allen,2005,164,165
East Baton Rouge,2000,217,112
Franklin,2007,172,205
Fayette,2012,151,223
Charles,2010,147,258
Effingham,1996,192,164
Cumberland,2003,157,161
Tarrant,2000,200,137
Douglas,1994,67,60
Fremont,1993,62,316
Middlesex,1997,242,152
Bell,2019,77,243
Henderson,1994,190,175
Northampton,1984,177,83
Merced,2018,171,173
Hutchinson,1980,112,76
Manati,1998,47,56
Lake,2008,161,262
Yellow Medicine,1997,22,14
Honolulu,2014,195,348
Providence,2003,197,203
Pike,2004,161,286
Kittitas,2020,459,320
Preble,2018,107,265
Sheboygan,2016,164,166
Mille Lacs,2018,74,114
Spokane,1995,161,188
Greene,2009,117,254
Shelby,2021,150,152
Livingston,1995,166,224
Gunnison,1987,77,95
Merced,1992,202,178
DeSoto,2000,177,207
Bossier,1982,174,284
Warren,1997,200,154
Hinds,1987,154,285
Sumter,2000,147,170
Adjuntas,2011,53,13
Benton,2013,515,309
Bremer,2010,108,187
Prince Edward,1992,164,267
Essex,2017,101,287
Spokane,2009,90,285
Coles,1989,66,44
Hillsborough,1994,166,221
Adjuntas,2013,54,91
Vanderburgh,2002,200,193
Charles,2000,207,134
Tompkins,2004,108,302
Valley,2004,97,232
Dorchester,2002,203,243
Bexar,2014,136,203
Clay,2017,66,104
Lee,2009,87,306
Northampton,2021,148,183
Olmsted,2000,104,58
Edmonson,2013,105,319
Solano,1993,177,301
Campbell,2017,115,253
Lake,1993,105,351
Montgomery,2010,129,247
Burlington,1991,237,221
Dodge,1984,159,118
Buchanan,2014,141,239
Camden,2003,226,209
Sublette,2006,166,158
Cobb,2013,108,251
Jackson,1982,87,319
Harris,1991,257,101
Seminole,2001,154,284
Tuscarawas,1984,200,113
Iron,1988,46,13
Weld,2010,126,231
Allen,2011,119,283
Anoka,1990,129,323
Saint Louis,1998,220,192
Bronx,2019,115,280
Natrona,2008,43,120
Goodhue,2008,90,145
Salt Lake,2001,204,115
Washington,2018,94,103
Clark,1993,200,262
Faulkner,2001,96,43
Robertson,2018,26,332
Cape May,1980,219,142
Polk,2019,119,312
Florence,2006,101,169
New Hanover,1990,151,139
Pueblo,2018,101,117
Perry,2008,112,131
Wasco,2003,72,45
Pinal,1988,200,206
Delaware,2006,166,239
Newport News City,1996,45,360
Camden,2007,202,151
Cochise,1981,200,101
Jefferson,2005,204,97
Gilmer,1998,169,244
Calcasieu,1986,201,278
Rockingham,2018,115,331
Scioto,1982,114,294
Oliver,1981,126,331
Laramie,1988,52,53
Morgan,1995,105,331
Westmoreland,2013,129,206
Washington,2018,87,266
Tulare,1984,213,165
Marquette,1984,92,339
Rutland,2002,160,309
Jefferson,1991,182,120
Nez Perce,2004,66,272
Blount,1997,206,139
Forsyth,1987,192,166
Clackamas,2012,108,201
Barnwell,1999,174,264
Ashley,1994,54,59
Hillsborough,2002,153,85
Niagara,2000,156,274
White,1993,51,54
Allegheny,2017,164,161
Escambia,1996,205,222
San Benito,1987,208,198
Navajo,1989,65,132
Fayette,2005,98,278
New Castle,1993,212,99
Jackson,2010,140,285
Erie,1996,177,163
Knox,1984,174,192
Teton,1986,59,37
Aroostook,2017,120,312
York,1996,177,304
Carroll,2004,115,129
Dakota,2017,83,328
Rio Arriba,2001,52,102
Hamilton,2004,200,142
Hampton City,1997,195,248
Ponce,2009,63,100
Ocean,2018,143,296
Granville,1989,203,113
Mercer,2000,200,264
Archuleta,2014,51,335
Dukes,2006,207,181
Mohave,2019,69,358
Campbell,2017,115,253
Union,2009,89,291
Carbon,1998,366,175
Fairfax,2014,105,294
La Salle,1988,100,38
Carter,1986,83,181
Sainte Genevieve,2015,93,190
Catano,1995,124,235
Marion,2011,95,298
Jackson,2009,171,242
Washington,2018,93,288
McCracken,1986,200,150
Monongalia,1994,200,197
Bartow,2004,127,350
Dakota,2005,152,246
Page,2014,77,230
Orange,2013,108,318
Eagle,1997,41,41
Sumner,1988,222,141
Wilson,2007,169,100
Milwaukee,1999,197,142
Clay,2017,66,104
Clark,2015,157,272
Florence,1996,151,157
Webb,1988,37,13
Benton,2001,197,312
Dutchess,2005,161,326
Powder River,2012,93,262
Hancock,1988,226,253
Boone,2018,151,218
Fajardo,2004,64,331
Yuba,1990,63,53
Adams,1999,136,164
Powell,2019,81,106
Polk,2009,116,264
Larimer,1992,143,274
Kaufman,2018,122,305
Putnam,1990,27,18
Contra Costa,1985,195,246
Elmore,1997,115,122
Kanawha,2013,112,307
St. Joseph,1981,197,233
Washington,1987,216,114
Bernalillo,2006,212,134
Laurel,2002,118,28
Los Alamos,1989,46,154
Madison,2012,140,265
Sheboygan,1988,237,270
CHIHUAHUA STATE,2002,1392,191
Horry,1981,172,114
Arlington,1995,213,238
Baker,2007,81,298
Clark,1980,237,36
Iberville,1982,240,301
Richland,2011,94,322
Oneida,1999,168,251
Hamilton,2000,156,163
Grand Traverse,2002,96,69
Montgomery,1998,107,342
Dona Ana,2019,630,170
Putnam,2000,182,96
Marshall,1993,200,133
Worcester,1994,202,241
Tulsa,2013,136,187
Buncombe,1980,164,104
Cheshire,1989,104,31
Missaukee,2016,115,328
Pima,1996,147,175
Allegany,1991,151,244
Franklin,2007,151,113
Floyd,2020,80,322
Lares,2002,61,87
Parke,1984,200,269
Sarasota,1998,203,248
Bartow,1996,122,348
Elmore,2013,87,229
Franklin,2011,104,358
Warren,1993,60,57
Albany,2013,122,238
Hudson,1988,245,107
Kennebec,2017,100,348
Georgetown,1994,113,312
Yuma,2000,93,179
Frederick,2018,100,204
DeSoto,1982,151,136
Greene,1989,55,52
Rock,1997,161,118
Lexington,1998,132,191
Jefferson,2018,156,176
Columbia,1995,185,116
Medina,1998,182,118
Boulder,2009,147,256
Midland,1989,56,362
San Juan,2003,135,196
Yabucoa,1989,163,292
Lee,2015,82,98
Garfield,2013,105,305
Chatham,2015,64,228
Jefferson,1996,200,212
Greene,2013,159,240
Dakota,1988,200,112
Cass,2002,96,294
Clermont,2013,126,215
Matanuska-Susitna ,2003,156,109
Rockdale,1996,218,254
Bowie,2014,72,88
Uinta,2018,108,287
Pasquotank,1998,70,56
Taos,2014,54,354
Plumas,1998,112,245
Pottawattamie,1987,65,51
West Baton Rouge,2021,150,277
York,1986,187,205
Swain,1999,140,116
McKenzie,1980,70,318
Clinton,1984,64,192
Boyd,2010,119,229
Gloucester,1989,217,237
Chester,2004,174,131
Hanover,2021,87,110
Bonneville,1999,115,51
Chittenden,2015,100,318
Trumbull,2003,210,153
Lincoln,1999,140,343
Vilas,2012,108,196
Camden,2004,195,230
Macon,2001,129,299
Nez Perce,1997,72,338
Columbia,2015,104,353
Lincoln,2010,143,130
Hancock,2001,175,44
Oklahoma,2007,159,194
Shelby,2011,174,194
Gallatin,1985,55,5
Benton,1990,332,137
Plymouth,2007,103,84
Marion,2003,130,43
Ellis,2007,172,212
Coahoma,1994,45,57
Sandoval,1994,140,244
Lake,1985,133,222
Strafford,1995,44,54
Swain,2010,97,243
St Thomas,2001,93,49
Swain,2018,80,309
Missoula,2021,104,114
Kane,1984,156,301
Wayne,1994,190,128
Wayne,2002,38,78
Camden,1990,151,206
Linn,1983,187,154
Richland,1993,203,167
Jackson,1990,140,184
Greenville,2021,101,189
Carroll,2002,197,86
Carolina,1994,62,55
San Miguel,2013,156,173
Union,1997,161,204
Prince George's,2011,174,201
Wood,2016,115,170
St. Louis City,2017,115,226
Franklin,2013,115,279
Butte,2003,129,259
San Juan,1984,200,145
Garland,2014,79,92
Los Angeles,1996,247,42
Bucks,1981,219,174
York,1987,220,139
Walworth,2012,174,127
Sedgwick,2014,150,263
Posey,2005,150,98
Douglas,2009,107,316
Hancock,1994,140,298
Washington,1985,93,70
Oneida,2013,82,315
Clallam,2012,81,308
McKenzie,1992,67,354
Bennington,2018,101,333
Kent,1994,179,128
Big Horn,1995,68,112
Chatham,1987,179,227
Bibb,2018,106,311
Montgomery,2002,187,238
Adams,2014,124,237
Lea,1994,46,52
Onondaga,2013,93,326
Grant,2010,137,286
Saint Clair,1996,180,109
Walworth,2015,108,170
Avery,2019,77,335
Lewis,1998,64,56
Madison,1992,174,233
Anderson,1982,200,230
Cass,1985,50,62
Park,1992,177,88
Prince George's,1998,206,237
Charleston,2015,114,325
Cumberland,1987,225,223
Somerset,2006,112,278
Galveston,1991,217,259
Chittenden,1988,185,307
Houston,1980,200,191
Person,2001,185,190
Hamilton,2021,115,227
Indian River,2017,101,274
Monmouth,1996,201,276
Santa Rosa,2019,93,307
Washington,2010,108,211
Edgecombe,1992,35,18
Sullivan,2018,114,240
Rock Island,1991,136,301
Lubbock,1988,113,142
Monterey,1991,126,283
Orange,1990,177,286
Franklin,2005,166,254
Orange,1990,239,81
Prince William,2009,93,331
Jefferson,2017,101,309
Lubbock,2013,165,310
Otoe,1987,80,43
Lake,2005,108,270
Arapahoe,1989,166,235
Matanuska-Susitna ,2017,155,309
Huntington,2017,100,227
Oneida,1993,157,288
Adams,1987,187,156
Orange,2018,122,238
Spokane,1980,226,25
Ohio,1982,200,228
Valley,2002,72,11
Oconee,2003,140,271
Black Hawk,2020,91,311
St. Johns,1994,182,302
Washoe,2013,895,151
Valencia,2019,93,270
Kent,2007,151,119
Luzerne,2009,90,353
Livingston,2011,150,260
Marion,2008,143,121
Mercer,2004,169,269
Yuma,2019,129,265
King,2007,159,256
Chatham,2002,197,126
Boone,2011,115,200
Orange,1995,197,113
Adams,1984,188,232
Blair,2009,97,329
Livingston,1998,206,217
Kings,2020,77,338
Cherokee,2016,77,250
Madera,2019,140,189
Edgefield,2008,159,254
Elko,1989,53,77
Putnam,2002,85,340
Tippecanoe,1991,164,160
Baltimore (City),2017,112,281
Charlton,2001,86,96
Kent,2001,201,122
Orange,2016,169,149
Dutchess,1993,222,286
Trego,2014,97,296
Hampton City,2013,105,309
Fountain,2003,145,243
Harrison,2013,108,263
Boise,2009,77,303
Tucker,2014,90,338
Genesee,1984,147,270
Saint Charles,2015,126,234
La Plata,2014,101,280
San Diego,2005,159,83
Washington,2003,58,115
Stafford,2005,147,136
Sebastian,1997,57,57
McKenzie,1987,200,292
Larimer,1985,163,273
Ingham,1995,182,132
Love,2017,151,203
Mason,2012,156,131
Sarasota,1988,151,299
Union,1999,115,300
Sheboygan,2002,219,117
Van Buren,1997,100,331
Grays Harbor,2011,59,352
Monterey,1995,122,339
Kent,2008,151,207
Champaign,1987,177,270
Charleston,1996,177,291
Clay,1995,221,247
Gwinnett,1999,234,91
Wayne,2008,53,111
Washington,1988,244,99
Whatcom,2009,76,327
Humphreys,2010,85,115
Ector,2005,85,308
Delaware,1981,241,143
Crow Wing,2014,80,329
Essex,1994,179,186
Laurel,2006,71,8
Santa Cruz,2021,166,185
Sevier,1993,187,181
Manistee,2008,133,193
Kitsap,2017,144,342
Rowan,1997,212,112
St. Tammany,2015,100,302
Catawba,1992,47,12
Maury,1980,200,106
Kittitas,2020,459,320
York,2017,105,275
Oconee,2005,156,272
Jackson,1982,87,319
New York,2009,126,167
Wrangell Petersburg,2008,18,108
Jackson,1995,150,276
Blaine,2016,92,98
Okanogan,1987,69,44
Jefferson,2021,97,195
Lynchburg City,2006,91,64
Kewaunee,2001,187,142
Charleston,2001,108,178
Kaufman,2005,172,208
Adams,1995,151,210
Catron,2001,62,102
Otoe,1985,80,88
San Benito,2012,133,286
Belmont,1992,200,139
Wilson,1984,200,240
Valencia,2019,93,270
Hamilton,1990,195,152
Stearns,2020,80,336
Potter,2021,121,180
Saginaw,2002,93,65
Palo Alto,2016,154,306
Culberson,2018,78,108
Union,1998,174,244
Laurel,2006,71,8
Guilford,1990,201,231
Spartanburg,1999,205,123
Lewis,2015,153,338
Madison,1983,161,235
Tuscarawas,2002,148,297
Saskatchewan,2006,83,28
Cerro Gordo,2019,38,118
Fayette,2015,115,294
Kalamazoo,2014,108,256
Waukesha,1983,209,279
Lake,2001,143,306
Calcasieu,2018,108,236
Jerome,2019,48,353
Philadelphia,2017,166,190
Coweta,2007,201,155
Ponce,1984,61,28
East Baton Rouge,2015,156,190
Jefferson,1991,182,120
Northumberland,1999,49,59
San Juan,1990,63,88
Fond du Lac,2003,136,133
Washington,2013,169,318
Madison,1988,27,7
Fairbanks North Star ,2017,180,240
San Juan,2006,154,185
Spokane,1989,379,153
Beaufort,2003,77,79
Pima,2000,136,175
Scioto,2016,129,355
Carroll,2016,122,167
Jackson,1993,49,51
Potter,1985,59,37
San Diego,2013,617,56
Mason,2018,124,337
Abbeville,1999,187,113
Arapahoe,2020,159,248
Livingston,2005,154,263
Albany,1998,122,209
Essex,2019,100,265
Hillsborough,2018,122,254
Grenada,2009,72,89
McHenry,2006,98,305
Jackson,2014,93,147
Richmond,2005,156,136
Mecklenburg,2004,202,107
Emmet,2001,81,90
Washington,2005,166,83
Pasco,2004,140,279
Harrison,2005,113,46
Adams,1990,203,268
Custer,2000,99,46
Roane,2020,91,316
Hamilton,2004,200,142
Marion,2003,63,48
Jefferson,2002,207,46
Douglas,1996,119,264
Wake,2001,169,130
Greene,1998,60,56
Bristol,1995,221,256
Colleton,2017,82,309
Faulkner,2007,90,68
Franklin,1993,40,137
Shoshone,1990,94,93
Park,2009,112,73
Bannock,2002,148,237
Madison,1989,159,213
Kenai Peninsula ,2020,43,102
Oneida,1982,200,159
Dutchess,2000,182,296
Pierce,1981,223,99
Franklin,1989,57,149
Hawkins,1999,200,217
Cherokee,2009,105,277
Bartholomew,2013,93,175
Giles,2010,119,253
Prince George's,1985,218,187
Ashtabula,1998,208,264
Muhlenberg,1983,204,145
Essex,1986,147,160
Duplin,2001,133,142
Wyandot,2000,64,165
Etowah,2009,87,228
Mono,2000,10362,327
Posey,1993,139,270
Pearl River,2002,81,77
Berkeley,1986,209,255
Montgomery,2005,169,251
Grant,1996,192,327
Washtenaw,2005,200,235
Broward,2020,142,290
Mille Lacs,2005,151,192
Darlington,1981,177,93
Glenn,2009,115,251
Morrison,1997,40,36
Silver Bow,2018,120,308
Delaware,2003,35,56
Ashley,2014,73,97
Polk,1996,51,56
Hartford,2008,159,251
Luzerne,2015,105,329
Mercer,2014,115,212
Susquehanna,2020,71,351
Chippewa,2001,96,90
Mesa,2018,150,216
Knox,1994,174,257
Harford,1999,221,256
Fulton,1980,233,158
Lee,2007,122,299
Baker,2016,80,334
Frederick,2007,159,122
Giles,1988,200,170
Hamilton,1991,154,237
Tarrant,1993,197,289
Somerset,1991,187,236
Harney,2019,131,264
Benton,2014,131,321
Warren,2015,115,316
Phillips,2007,103,61
Collin,1992,212,143
Saint Charles,1994,220,223
Norfolk,2003,204,145
Watauga,2005,158,65
Benton,1992,176,200
Marion,2005,136,281
Alameda,1980,232,237
Grand,1996,55,55
Benton,2011,102,323
Vilas,2004,115,228
Tulare,2001,206,99
Yalobusha,2018,71,318
Garfield,2004,26,116
Johnson,2021,112,140
Hidalgo,1991,200,227
Tulsa,2011,174,107
Jackson,1989,70,34
Pitt,2000,204,221
Mecklenburg,1985,208,109
Adair,2014,198,263
El Dorado,2020,190,258
Peoria,2011,159,184
San Bernardino,2006,239,66
Washington,2020,72,104
Columbia,1999,172,129
Utah,2014,140,235
Bingham,2000,91,30
Charles,2021,94,190
Shoshone,2005,174,224
DuPage,1989,161,256
Webb,1996,98,122
Bell,2008,126,148
Columbus,1994,61,353
Lauderdale,2011,100,233
Buffalo,1993,87,54
Davie,1985,172,259
Putnam,2001,57,59
St. Clair,1988,208,225
Fairfax City,1980,218,265
Lincoln,2001,101,41
Shasta,1980,179,208
Johnson,2017,80,294
Olmsted,2002,97,65
Cleveland,2021,129,142
Pinal,2004,122,217
Marion,1999,190,82
Greene,2000,201,169
San Juan,2007,57,117
Lake,1987,95,30
Baldwin,2010,150,188
Cambria,2006,119,234
New London,2010,126,285
Floyd,2000,186,179
Wyandot,1992,73,138
Shelby,2009,119,229
Kane,1985,143,304
Knox,1997,200,150
Monterey,1991,126,283
Davidson,2018,76,275
Linn,1998,124,295
Osceola,2011,108,320
Etowah,1991,71,50
Hillsborough,2007,247,148
Johnston,2004,122,155
Greenup,1981,174,120
Jefferson,1992,140,306
Simpson,2014,87,217
Kern,2014,307,32
Adams,1980,150,120
Charleston,2021,93,228
Cabarrus,2000,118,36
Madera,1991,190,186
Franklin,2008,115,156
Cass,2010,108,133
Daniels,1982,81,339
Marion,1985,170,296
Prince Edward,2021,80,222
Grays Harbor,2014,68,342
Bernalillo,2002,413,142
Hampden,1991,208,197
Bernalillo,1989,186,130
Morris,2017,115,326
Campbell,2001,187,206
Essex,1999,207,152
Rockbridge,2013,71,247
Warren,2009,97,267
Calaveras,2012,156,245
Franklin,2008,174,234
Clark,2012,129,107
Colleton,2013,100,291
Aleutians East ,2020,31,101
Newport News City,2000,106,54
Claiborne,2005,133,176
Sutter,1999,179,194
Sanders,1990,154,276
Lincoln,1989,150,180
Norfolk City,2003,153,268
Russell,2007,163,133
Steuben,2013,84,343
Pittsburg,2014,93,269
Jefferson,2020,87,308
Glenn,2013,101,244
Johnson,2006,104,82
Oneida,1994,176,263
Sevier,1991,151,184
Campbell,1991,67,51
Oconto,1980,200,221
Racine,2020,172,162
Sumter,1992,166,252
Ouachita,1994,182,299
Elk,2011,112,327
Whitman,2000,77,52
Worcester,1999,190,246
Rockbridge,2020,49,264
Kane,1982,86,327
Iron,1995,200,145
Dawson,2002,96,42
Cass,2009,129,134
Tolland,2013,147,134
Knox,2010,133,226
Henderson,2002,197,180
Salem City,2018,72,103
Lincoln,2004,82,45
Catawba,2006,166,130
Chelan,2004,85,85
Sumner,1992,202,180
Warrick,2006,184,194
Clackamas,1983,179,348
Wayne,1984,164,309
Burleigh,2006,113,340
Napa,1996,115,345
Tucker,1998,174,225
Cass,1988,174,132
Creek,2004,112,298
Suffolk,1993,247,273
Robeson,2003,95,60
Winn,2001,112,56
Baltimore,1993,214,237
Monroe,1989,62,41
Bay,2001,166,270
Ottawa,2016,79,296
Washtenaw,2008,140,278
York,1987,214,124
Daviess,1989,200,221
Bay,1990,114,106
Wilson,2002,203,148
Mason,2010,73,343
Forsyth,2000,172,105
Anoka,1999,122,323
Saint Clair,1980,219,94
Miami,2013,105,175
Phillips,2013,56,360
Stevens,2011,107,253
Outagamie,1994,129,164
Otoe,1990,57,59
Bradley,1989,122,299
Juncos,2017,90,194
Anchorage ,2017,105,313
Montgomery,2005,153,215
Belmont,1985,125,188
Blount,2010,147,213
St. James,1996,161,316
Davis,1980,224,172
St. James,2007,156,307
Lawrence,2008,143,276
Richmond,1999,232,275
Edgecombe,1994,49,61
Alachua,2009,98,331
Burleigh,2020,74,336
Newton,2016,90,350
Sedgwick,2016,195,310
Canadian,2008,126,304
Plumas,2018,159,219
Whitman,2017,192,328
LaPorte,1987,200,90
Scott,1997,115,167
Roane,2015,70,87
Franklin,2001,187,89
Union,1989,195,119
Perry,2001,197,250
DeKalb,2002,78,248
Jones,2000,123,36
Aroostook,2015,97,276
Roane,2014,83,189
Hancock,2011,141,256
Monroe,1989,129,255
Harris,2015,203,159
Brevard,2005,126,307
Warren,2000,200,142
Sagadahoc,1994,190,121
Spalding,1993,57,53
Knox,2016,119,313
Hyde,2020,53,92
Allen,1997,161,299
Wyandotte,1996,185,194
Buncombe,2014,93,304
Muskogee,1989,143,306
Fergus,2016,87,356
Santa Rosa,2011,147,256
Allen,1999,172,238
Nassau,1995,102,311
Mahoning,1993,159,212
Genesee,1999,210,275
Brazoria,2009,177,308
Ford,1989,60,39
Flathead,1990,79,305
Henry,2015,72,98
Cole,1994,39,31
Polk,2018,112,284
Simpson,2000,172,161
York,2008,177,227
Lincoln,2002,155,296
SONORA,1999,122,18
Sherman,2013,104,56
Kent,1998,192,101
Sarpy,2017,96,262
Johnston,1994,179,115
Edgefield,2017,84,299
Summit,1995,185,177
Martin,2017,115,309
Douglas,2015,169,251
Perry,2000,163,193
Dyer,2017,71,278
Pittsburg,1999,93,38
Alexandria City,1981,208,187
Greene,2011,143,204
Carroll,1992,51,60
Hamilton,1984,177,262
Jersey,2007,150,170
